"grappe","dist_popcenter","dist_border","dist_road","dist_admctr","af_bio_1","af_bio_8","af_bio_12","af_bio_13","af_bio_16","popdensity","hybrid_V8","ssa_aez09","afmnslp_pct","srtm_1k","twi","sq1","sq2","sq3","sq4","sq5","sq6","sq7","anntot_avg","wetQ_avg","wetQ_avgstart","h2017_tot","h2017_wetQ","h2017_wetQstart","ndvi_avg","ndvi_max","h2017_ndvi_avg","h2017_ndvi_max","type","lat_dd_mod","lon_dd_mod","hors_mali","hors_mali_utm","erreur_projection","hors_mali_reel","proche_frontiere","dans_eau_suspect","zone_humide_twi","zone_non_cultivee","zone_inhabitee","erreur_saisie","derive_gps","exploitation","passage","cluster","doublon","nb_grappes_cluster","nb_passages_cluster","nb_exploitations_cluster","origine_doublon","distance_centre","suspect_distance","score","niveau","decision","surface_gps_m2","surface_gps_ha","hybrid_V8_prop","surface_cultivee_ha"
258,80,62,4,139,272,259,1094,287,760,50,10,312,2.4,378,14,1,1,1,1,1,1,1,825,565,18,843,17,622,0.3422,0.4265,0.3266,0.4331,"offset",12.1942389331,-8.658991298,0,0,0,0,27346.1924497248,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",320231.153240159,0,0,"Bon","Garder",31401.5737457867,3.14015737457867,0.1,0.314015737457867
259,8,148,3,58,273,259,976,303,733,1830,19,312,3.6,408,13,1,1,5,1,1,1,5,781,548,18,793,17,578,0.2889,0.3746,0.2879,0.349,"offset",12.7977443182,-8.09457185369,0,0,0,0,13109.3446522438,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",231338.484531222,0,0,"Bon","Garder",31401.5737458188,3.14015737458188,0.19,0.596629901170557
260,30,135,8,86,271,259,1000,313,756,30,30,312,1.8,415,15,1,1,5,1,1,1,5,801,557,18,756,17,550,0.3144,0.3952,0.2752,0.3532,"offset",12.7584458058,-8.36592179466,0,0,0,0,26436.6168114297,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",260475.266309373,0,0,"Bon","Garder",31401.5737458123,3.14015737458123,0.3,0.942047212374369
261,20,154,4,34,274,263,902,270,648,250,33,312,1.8,327,13,1,1,3,1,1,1,3,824,585,18,823,17,578,0.3105,0.3957,0.2856,0.3538,"offset",12.6343158282,-7.75644263323,0,0,0,0,19670.5488716137,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",208982.867623551,0,0,"Bon","Garder",31401.5737458281,3.14015737458281,0.33,1.03625193361233
262,28,155,5,36,274,263,903,270,645,140,30,312,1.5,344,14,1,1,3,1,1,1,3,799,574,18,849,17,596,0.3122,0.3971,0.2878,0.3424,"offset",12.573140929,-7.6807425605,0,0,0,0,28029.1634269661,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",206585.185616213,0,0,"Bon","Garder",31401.5737457657,3.14015737457657,0.3,0.942047212372972
263,57,142,30,67,274,262,972,278,667,110,33,312,1.7,358,13,1,1,1,1,1,1,1,813,562,18,983,18,587,0.3184,0.4108,0.3172,0.3588,"offset",12.2540093148,-7.62004478584,0,0,0,0,19724.4277795354,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",226670.750594825,0,0,"Bon","Garder",31401.5737457639,3.14015737457639,0.33,1.03625193361021
264,57,141,29,69,274,262,975,278,668,100,31,312,1.7,358,16,1,1,1,1,1,1,1,808,560,18,966,18,584,0.3225,0.4159,0.3204,0.3632,"offset",12.223404963,-7.62724342374,0,0,0,0,18509.7648130046,0,1,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",229786.812839147,0,1,"A_verifier","Verifier_manuel",31401.5737456838,3.14015737456838,0.31,0.973448786116197
265,58,139,28,71,274,261,980,278,670,100,28,312,1.7,360,16,1,1,1,1,1,1,1,806,558,18,957,19,587,0.3254,0.4199,0.3203,0.3667,"offset",12.2057475071,-7.63232100609,0,0,0,0,18137.5704334104,0,1,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",231659.282869952,0,1,"A_verifier","Verifier_manuel",31401.5737458025,3.14015737458025,0.28,0.87924406488247
266,56,158,30,56,274,262,944,277,659,50,37,312,1.7,357,14,1,1,3,1,1,1,3,793,548,18,899,18,595,0.3134,0.4016,0.3158,0.3753,"offset",12.3512624977,-7.50730059088,0,0,0,0,21784.0899721874,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",210027.093208188,0,0,"Bon","Garder",31401.5737457601,3.14015737457601,0.37,1.16185822859312
267,4,146,3,26,275,261,936,288,684,6030,8,312,4.3,358,13,1,1,5,1,1,1,5,836,598,18,820,18,577,0.2827,0.3506,0.244,0.2956,"offset",12.6904795344,-7.92546950262,0,0,0,0,2964.76562696998,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",220970.439713431,0,0,"Bon","Garder",31401.5737457634,3.14015737457634,0.08,0.251212589966107
268,4,147,3,28,275,261,933,287,682,5610,8,312,4.3,358,13,1,1,5,1,1,1,5,836,598,18,819,18,577,0.2846,0.3527,0.2503,0.3045,"offset",12.6916235532,-7.9176784958,0,0,0,0,3773.21161392755,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",220166.143076883,0,0,"Bon","Garder",31401.5737457047,3.14015737457047,0.08,0.251212589965638
269,4,147,3,27,275,260,937,289,687,5760,8,312,5.1,366,13,1,1,5,1,1,1,5,827,591,18,814,18,576,0.2826,0.3508,0.2497,0.2978,"offset",12.7117471788,-7.93691239274,0,0,0,0,3551.75610795993,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",220780.72135053,0,0,"Bon","Garder",31401.5737456917,3.14015737456917,0.08,0.251212589965533
